Boots;;;;;;;;;;;
;tornado Mart;F;All;All;;;tornado Mart-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?brand_ids[]=2009100&disabled_personalization=true&order=newest_first&search_start_type=item_page_summary_brand&time=1731261248&page=1
;Trebor;F;Clothing;All;;;Trebor-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730912434&order=newest_first&catalog[]=4&brand_ids[]=255602&page=1
;Trente trois;F;Clothing;All;;;Trente trois-F-All;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730911953&order=newest_first&catalog[]=4&brand_ids[]=2501&page=1
Tops & Tshirts;;;;;;;;;;;
;Adolfo Dominguez;F;;Tops & Tshirts;;;Adolfo Dominguez-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730919489&catalog[]=12&brand_ids[]=3261&page=1
;Agnes B.;F;Clothing;Tops & Tshirts;;;Agnes B.-F-Tops & Tshirts;TRUE;TRUE;🔗;https://www.vinted.fr/catalog?time=1730650521&brand_ids%5B%5D=677&catalog%5B%5D=12&page=1
;Airfield;F;Clothing;Tops & Tshirts;;;Airfield-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730845656&brand_ids[]=33931&catalog[]=12&page=1
;Alberta Ferretti;F;;Tops & Tshirts;;;Alberta Ferretti-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730919552&catalog[]=12&brand_ids[]=40245&page=1
;Alessandro Dell'Acqua;F;Clothing;Tops & Tshirts;;;Alessandro Dell'Acqua-F-Tops & Tshirts;TRUE;TRUE;🔗;https://www.vinted.fr/catalog?time=1730218135&catalog[]=12&brand_ids[]=478543&order=newest_first&page=1
;Alexander McQueen;F;;Tops & Tshirts;;;Alexander McQueen-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730919716&catalog[]=12&brand_ids[]=52193&page=1
;Annarita N;F;;Tops & Tshirts;;;Annarita N-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730919774&catalog[]=12&brand_ids[]=326790&page=1
;Antonio Berardi;F;;Tops & Tshirts;;;Antonio Berardi-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730919958&catalog[]=12&brand_ids[]=333914&page=1
;Atos lombardini;F;Clothing;Tops & Tshirts;;;Atos lombardini-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730844354&catalog[]=12&brand_ids[]=181716&page=1
;Bernhard Willhelm;F;;Tops & Tshirts;;;Bernhard Willhelm-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920125&catalog[]=12&brand_ids[]=450886&page=1
;Byblos;F;Clothing;Tops & Tshirts;;;Byblos-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730911286&order=newest_first&catalog[]=12&brand_ids[]=150898&page=1
;Celyn B;F;Clothing;Tops & Tshirts;;;Celyn B-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730845045&catalog[]=12&brand_ids[]=171284&page=1
;Christian Lacroix;F;;Tops & Tshirts;;;Christian Lacroix-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920270&catalog[]=12&brand_ids[]=2963&page=1
;Compagnia Italiana;F;Clothing;Tops & Tshirts;;;Compagnia Italiana-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730844129&catalog[]=1037&brand_ids[]=209548&page=1
;Costume national;F;Clothing;Tops & Tshirts;;;Costume national-F-Tops & Tshirts;TRUE;TRUE;🔗;https://www.vinted.fr/catalog?time=1730651599&order=price_low_to_high&currency=EUR&brand_ids%5B%5D=14101&brand_ids%5B%5D=10249&catalog%5B%5D=12&page=1
;Daniele alessandrini;F;Clothing;Tops & Tshirts;;;Daniele alessandrini-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730916133&order=newest_first&catalog[]=12&brand_ids[]=331540&page=1
;Dirk Bikkembergs;F;;Tops & Tshirts;;;Dirk Bikkembergs-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920635&brand_ids[]=20929&catalog[]=12&page=1
;Double One;F;Clothing;Tops & Tshirts;;;Double One-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730844682&catalog[]=12&brand_ids[]=17575&page=1
;Dries Van Noten;F;;Tops & Tshirts;;;Dries Van Noten-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920786&brand_ids[]=72138&catalog[]=12&page=1
;Fornarina;F;Clothing;Tops & Tshirts;;;Fornarina-F-Tops & Tshirts;TRUE;TRUE;🔗;https://www.vinted.fr/catalog?time=1730651917&order=price_low_to_high&currency=EUR&brand_ids%5B%5D=4335&catalog%5B%5D=12&page=1
;FUZZI;F;;Tops & Tshirts;;;FUZZI-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920927&brand_ids[]=227826&catalog[]=12&page=1
;Gaetano Navarra;F;;Tops & Tshirts;;;Gaetano Navarra-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920977&brand_ids[]=224156&catalog[]=12&page=1
;Gianfranco Ferre;F;;Tops & Tshirts;;;Gianfranco Ferre-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730921049&brand_ids[]=1933&catalog[]=12&page=1
;Gsus;F;Clothing;Tops & Tshirts;;;Gsus-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730846824&brand_ids[]=12041&catalog[]=12&page=1
;Gucci;F;;Tops & Tshirts;;;Gucci-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730975559&catalog[]=12&brand_ids[]=567&page=1
;Helmut Lang;F;;Tops & Tshirts;;;Helmut Lang-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730975577&catalog[]=12&brand_ids[]=47829&page=1
;John Galliano;F;;Tops & Tshirts;;;John Galliano-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730975673&catalog[]=12&brand_ids[]=10613&page=1
;Karen Millen;F;Clothing;Tops & Tshirts;;;Karen Millen-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730914619&order=newest_first&catalog[]=12&brand_ids[]=4271&page=1
;Katharine Hamnett;F;;Tops & Tshirts;;;Katharine Hamnett-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730975736&brand_ids[]=439553&brand_ids[]=1177699&catalog[]=12&page=1
;Killah;F;Clothing;Tops & Tshirts;;;Killah-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730845360&catalog[]=12&brand_ids[]=2291&page=1
;Kosmika;F;Clothing;Tops & Tshirts;;;Kosmika-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730843566&catalog[]=12&brand_ids[]=2097&page=1
;Le Full;F;Clothing;Tops & Tshirts;;;Le Full-F-Tops & Tshirts;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730916707&catalog[]=12&brand_ids[]=410185&page=1
